EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,CITY,COUNTRY_CODE,STATE_NAME,COUNTY_NAME,ARPT_NAME,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,ELEV,ELEV_METHOD_CODE,MAG_VARN,MAG_HEMIS,MAG_VARN_YEAR,ICAO_ID
2025-11-27,00103.,A,AL,0J0,ABBEVILLE,US,ALABAMA,HENRY,ABBEVILLE MUNI,31,36,6.193,N,31.60172027,85,14,18.761,W,-85.23854472,468.3,E,1,W,1985,NA
2025-11-27,00106.,A,AL,2A8,ADDISON,US,ALABAMA,WINSTON,ADDISON MUNI,34,13,1.71,N,34.21714166,87,9,29.37,W,-87.15815833,786,E,0,E,1980,NA
2025-11-27,00110.,A,AL,EET,ALABASTER,US,ALABAMA,SHELBY,SHELBY COUNTY,33,10,40,N,33.17777777,86,46,59.6,W,-86.78322222,585.6,S,3,W,2010,KEET
2025-11-27,00112.1,A,AL,BFZ,ALBERTVILLE,US,ALABAMA,MARSHALL,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,34,13,44.792,N,34.22910888,86,15,20.722,W,-86.25575611,1032.3,S,2,W,1995,KBFZ
2025-11-27,00116.,A,AL,ALX,ALEXANDER CITY,US,ALABAMA,TALLAPOOSA,THOMAS C RUSSELL FLD,32,54,53.1,N,32.91475,85,57,46.6,W,-85.96294444,685.8,S,4,W,2015,KALX
2025-11-27,00119.,A,AL,AIV,ALICEVILLE,US,ALABAMA,PICKENS,GEORGE DOWNER,33,6,24.28,N,33.10674444,88,11,49.83,W,-88.197175,150,S,2,W,2015,KAIV
2025-11-27,00124.,A,AL,79J,ANDALUSIA,US,ALABAMA,COVINGTON,SOUTH ALABAMA RGNL AT BILL BENTON FLD,31,18,30.1,N,31.30836111,86,23,32,W,-86.39222222,310.2,S,2,W,2005,NA
2025-11-27,00128.,A,AL,ANB,ANNISTON,US,ALABAMA,CALHOUN,ANNISTON RGNL,33,35,17.4,N,33.58816666,85,51,29.2,W,-85.85811111,612,S,4,W,2020,KANB
2025-11-27,00135.,A,AL,26A,ASHLAND/LINEVILLE,US,ALABAMA,CLAY,ASHLAND/LINEVILLE,33,17,3.11,N,33.28419722,85,48,32.275,W,-85.80896527,1065,S,1,W,1985,NA
2025-11-27,00140.1,A,AL,0R1,ATMORE,US,ALABAMA,ESCAMBIA,ATMORE MUNI,31,0,58.1,N,31.01613888,87,26,48.3,W,-87.44675,286,S,3,W,2020,NA
2025-11-27,00146.,A,AL,AUO,AUBURN,US,ALABAMA,LEE,AUBURN UNIVERSITY RGNL,32,36,54.4,N,32.61511111,85,26,2.4,W,-85.434,776.8,S,4,W,2015,KAUO
2025-11-27,00155.,A,AL,1R8,BAY MINETTE,US,ALABAMA,BALDWIN,BAY MINETTE MUNI,30,52,13.2,N,30.87033333,87,49,9.6,W,-87.81933333,248.1,S,0,E,2000,NA
2025-11-27,00155.31,A,AL,5R7,BAYOU LA BATRE,US,ALABAMA,MOBILE,ROY E RAY,30,27,18.9,N,30.45525,88,12,40.3,W,-88.21119444,87,E,2,E,1985,NA
2025-11-27,00157.1,A,AL,EKY,BESSEMER,US,ALABAMA,JEFFERSON,BESSEMER NTL,33,18,45.4,N,33.31261111,86,55,34.7,W,-86.92630555,699.6,S,3,W,2010,KEKY
2025-11-27,00164.,A,AL,BHM,BIRMINGHAM,US,ALABAMA,JEFFERSON,BIRMINGHAM-SHUTTLESWORTH INTL,33,33,50,N,33.56388888,86,45,8.3,W,-86.75230555,650,S,3,W,2010,KBHM
2025-11-27,00186.,A,AL,12J,BREWTON,US,ALABAMA,ESCAMBIA,BREWTON MUNI,31,3,2.561,N,31.05071138,87,4,2.16,W,-87.06726666,98.8,S,1,W,2000,NA
2025-11-27,00199.1,A,AL,09A,BUTLER,US,ALABAMA,CHOCTAW,BUTLER/CHOCTAW COUNTY,32,7,9.5,N,32.11930555,88,7,38.9,W,-88.12747222,133.7,S,3,W,2020,NA
